created_at,username,full_text,cleaning,case_folding,normalisasi,kata_baku,kata_tidak_baku,tokenize,stop_removal,stop_removal_joined
Mon Mar 24 10:20:43 +0000 2025,antaranews,Dengan adanya kebijakan efisiensi anggaran pemerintah yang berdampak pada sektor MICE (Meetings Incentives Conferences Exhibitions) banyak pelaku usaha dan tenaga kerja mengalami kesulitan. #mice #efisiensianggaran #tenagakerja https://t.co/eIUUmjOTfJ,Dengan adanya kebijakan efisiensi anggaran pemerintah yang berdampak pada sektor MICE Meetings Incentives Conferences Exhibitions banyak pelaku usaha dan tenaga kerja mengalami kesulitan mice efisiensianggaran tenagakerja ,dengan adanya kebijakan efisiensi anggaran pemerintah yang berdampak pada sektor mice meetings incentives conferences exhibitions banyak pelaku usaha dan tenaga kerja mengalami kesulitan mice efisiensianggaran tenagakerja ,dengan adanya kebijakan efisiensi anggaran pemerintah yang berdampak pada sektor mice meetings incentives conferences exhibitions banyak pelaku usaha dan tenaga kerja mengalami kesulitan mice efisiensianggaran tenagakerja,[],[],"['dengan', 'adanya', 'kebijakan', 'efisiensi', 'anggaran', 'pemerintah', 'yang', 'berdampak', 'pada', 'sektor', 'mice', 'meetings', 'incentives', 'conferences', 'exhibitions', 'banyak', 'pelaku', 'usaha', 'dan', 'tenaga', 'kerja', 'mengalami', 'kesulitan', 'mice', 'efisiensianggaran', 'tenagakerja']","['kebijakan', 'efisiensi', 'anggaran', 'pemerintah', 'berdampak', 'sektor', 'mice', 'meetings', 'incentives', 'conferences', 'exhibitions', 'pelaku', 'usaha', 'tenaga', 'kerja', 'mengalami', 'kesulitan', 'mice', 'efisiensianggaran', 'tenagakerja']",kebijakan efisiensi anggaran pemerintah berdampak sektor mice meetings incentives conferences exhibitions pelaku usaha tenaga kerja mengalami kesulitan mice efisiensianggaran tenagakerja
Sun Mar 23 03:24:15 +0000 2025,WujudDamai,Apa saja sih dampak positif dari efisiensi anggaran? Mari kita pelajari. #efisiensianggaran #indonesiaterang #astacita #presidenprabowo https://t.co/N6JhSFUJif,Apa saja sih dampak positif dari efisiensi anggaran? Mari kita pelajari efisiensianggaran indonesiaterang astacita presidenprabowo ,apa saja sih dampak positif dari efisiensi anggaran? mari kita pelajari efisiensianggaran indonesiaterang astacita presidenprabowo ,apa saja sih dampak positif dari efisiensi anggaran? mari kita pelajari efisiensianggaran indonesiaterang astacita presidenprabowo,[],[],"['apa', 'saja', 'sih', 'dampak', 'positif', 'dari', 'efisiensi', 'anggaran?', 'mari', 'kita', 'pelajari', 'efisiensianggaran', 'indonesiaterang', 'astacita', 'presidenprabowo']","['sih', 'dampak', 'positif', 'efisiensi', 'anggaran?', 'mari', 'pelajari', 'efisiensianggaran', 'indonesiaterang', 'astacita', 'presidenprabowo']",sih dampak positif efisiensi anggaran? mari pelajari efisiensianggaran indonesiaterang astacita presidenprabowo
Fri Mar 21 13:30:07 +0000 2025,gemercikmedia,Baca berita selengkapnya di https://t.co/LAg2zD8Akl atau klik tautan yang tertera di bio kami. #unsil #danakemahasiswaan #pendidikanindonesia #pemangkasandana #efisiensianggaran,Baca berita selengkapnya di  atau klik tautan yang tertera di bio kami unsil danakemahasiswaan pendidikanindonesia pemangkasandana efisiensianggaran,baca berita selengkapnya di  atau klik tautan yang tertera di bio kami unsil danakemahasiswaan pendidikanindonesia pemangkasandana efisiensianggaran,baca berita selengkapnya di atau klik tautan yang tertera di bio kami unsil danakemahasiswaan pendidikanindonesia pemangkasandana efisiensianggaran,[],[],"['baca', 'berita', 'selengkapnya', 'di', 'atau', 'klik', 'tautan', 'yang', 'tertera', 'di', 'bio', 'kami', 'unsil', 'danakemahasiswaan', 'pendidikanindonesia', 'pemangkasandana', 'efisiensianggaran']","['baca', 'berita', 'selengkapnya', 'klik', 'tautan', 'tertera', 'bio', 'unsil', 'danakemahasiswaan', 'pendidikanindonesia', 'pemangkasandana', 'efisiensianggaran']",baca berita selengkapnya klik tautan tertera bio unsil danakemahasiswaan pendidikanindonesia pemangkasandana efisiensianggaran
Thu Mar 20 05:59:09 +0000 2025,kompascom,Dampak Efisiensi Anggaran Terhadap Mudik Lebaran: Jalan Tak Mulus Jumlah Pemotor Tinggi ~SA #EfisiensiAnggaran #Mudik #Lebaran https://t.co/yK8dSzEOHh,Dampak Efisiensi Anggaran Terhadap Mudik Lebaran Jalan Tak Mulus Jumlah Pemotor Tinggi SA EfisiensiAnggaran Mudik Lebaran ,dampak efisiensi anggaran terhadap mudik lebaran jalan tak mulus jumlah pemotor tinggi sa efisiensianggaran mudik lebaran ,dampak efisiensi anggaran terhadap mudik lebaran jalan tak mulus jumlah pemotor tinggi sa efisiensianggaran mudik lebaran,[],[],"['dampak', 'efisiensi', 'anggaran', 'terhadap', 'mudik', 'lebaran', 'jalan', 'tak', 'mulus', 'jumlah', 'pemotor', 'tinggi', 'sa', 'efisiensianggaran', 'mudik', 'lebaran']","['dampak', 'efisiensi', 'anggaran', 'mudik', 'lebaran', 'jalan', 'mulus', 'pemotor', 'sa', 'efisiensianggaran', 'mudik', 'lebaran']",dampak efisiensi anggaran mudik lebaran jalan mulus pemotor sa efisiensianggaran mudik lebaran
Wed Mar 19 07:48:01 +0000 2025,NextIndonesia_,Ketika anggaran pusat dipotong banyak daerah menghadapi ancaman serius. Tanpa transfer dana dari pemerintah pusat mereka bisa kesulitan membayar gaji pegawai membiayai layanan publik hingga melanjutkan proyek pembangunan. #EfisiensiAnggaran https://t.co/MDeXJAICMJ,Ketika anggaran pusat dipotong banyak daerah menghadapi ancaman serius Tanpa transfer dana dari pemerintah pusat mereka bisa kesulitan membayar gaji pegawai membiayai layanan publik hingga melanjutkan proyek pembangunan EfisiensiAnggaran ,ketika anggaran pusat dipotong banyak daerah menghadapi ancaman serius tanpa transfer dana dari pemerintah pusat mereka bisa kesulitan membayar gaji pegawai membiayai layanan publik hingga melanjutkan proyek pembangunan efisiensianggaran ,ketika anggaran pusat dipotong banyak daerah menghadapi ancaman serius tanpa transfer dana dari pemerintah pusat mereka bisa kesulitan membayar gaji pegawai membiayai layanan publik hingga melanjutkan proyek pembangunan efisiensianggaran,[],[],"['ketika', 'anggaran', 'pusat', 'dipotong', 'banyak', 'daerah', 'menghadapi', 'ancaman', 'serius', 'tanpa', 'transfer', 'dana', 'dari', 'pemerintah', 'pusat', 'mereka', 'bisa', 'kesulitan', 'membayar', 'gaji', 'pegawai', 'membiayai', 'layanan', 'publik', 'hingga', 'melanjutkan', 'proyek', 'pembangunan', 'efisiensianggaran']","['anggaran', 'pusat', 'dipotong', 'daerah', 'menghadapi', 'ancaman', 'serius', 'transfer', 'dana', 'pemerintah', 'pusat', 'kesulitan', 'membayar', 'gaji', 'pegawai', 'membiayai', 'layanan', 'publik', 'melanjutkan', 'proyek', 'pembangunan', 'efisiensianggaran']",anggaran pusat dipotong daerah menghadapi ancaman serius transfer dana pemerintah pusat kesulitan membayar gaji pegawai membiayai layanan publik melanjutkan proyek pembangunan efisiensianggaran
Wed Mar 19 07:00:19 +0000 2025,adilarainbow,Prabowo Subianto menekankan pentingnya efisiensi anggaran untuk memperkuat program-program yang langsung berdampak pada rakyat. #EfisiensiAnggaran #ProgramRakyat https://t.co/WtK1EiIa7P,Prabowo Subianto menekankan pentingnya efisiensi anggaran untuk memperkuat programprogram yang langsung berdampak pada rakyat EfisiensiAnggaran ProgramRakyat ,prabowo subianto menekankan pentingnya efisiensi anggaran untuk memperkuat programprogram yang langsung berdampak pada rakyat efisiensianggaran programrakyat ,prabowo subianto menekankan pentingnya efisiensi anggaran untuk memperkuat programprogram yang langsung berdampak pada rakyat efisiensianggaran programrakyat,[],[],"['prabowo', 'subianto', 'menekankan', 'pentingnya', 'efisiensi', 'anggaran', 'untuk', 'memperkuat', 'programprogram', 'yang', 'langsung', 'berdampak', 'pada', 'rakyat', 'efisiensianggaran', 'programrakyat']","['prabowo', 'subianto', 'menekankan', 'efisiensi', 'anggaran', 'memperkuat', 'programprogram', 'langsung', 'berdampak', 'rakyat', 'efisiensianggaran', 'programrakyat']",prabowo subianto menekankan efisiensi anggaran memperkuat programprogram langsung berdampak rakyat efisiensianggaran programrakyat
Wed Mar 19 04:24:47 +0000 2025,fraksipkbjatim_,Anggota DPRD Jatim Fraksi PKB Ahmad Tamim menegaskan dukungannya terhadap efisiensi anggaran. Namun ia mengingatkan agar efisiensi tidak mengorbankan sektor pendidikan dan kesehatan yang vital bagi masyarakat. #EfisiensiAnggaran #PendidikanDanKesehatan #PKB #DPRDJatim #FPKB https://t.co/o9x4aQL0Hx,Anggota DPRD Jatim Fraksi PKB Ahmad Tamim menegaskan dukungannya terhadap efisiensi anggaran Namun ia mengingatkan agar efisiensi tidak mengorbankan sektor pendidikan dan kesehatan yang vital bagi masyarakat EfisiensiAnggaran PendidikanDanKesehatan PKB DPRDJatim FPKB ,anggota dprd jatim fraksi pkb ahmad tamim menegaskan dukungannya terhadap efisiensi anggaran namun ia mengingatkan agar efisiensi tidak mengorbankan sektor pendidikan dan kesehatan yang vital bagi masyarakat efisiensianggaran pendidikandankesehatan pkb dprdjatim fpkb ,anggota dprd jatim fraksi pkb ahmad tamim menegaskan dukungannya terhadap efisiensi anggaran namun ia mengingatkan agar efisiensi tidak mengorbankan sektor pendidikan dan kesehatan yang vital bagi masyarakat efisiensianggaran pendidikandankesehatan pkb dprdjatim fpkb,[],[],"['anggota', 'dprd', 'jatim', 'fraksi', 'pkb', 'ahmad', 'tamim', 'menegaskan', 'dukungannya', 'terhadap', 'efisiensi', 'anggaran', 'namun', 'ia', 'mengingatkan', 'agar', 'efisiensi', 'tidak', 'mengorbankan', 'sektor', 'pendidikan', 'dan', 'kesehatan', 'yang', 'vital', 'bagi', 'masyarakat', 'efisiensianggaran', 'pendidikandankesehatan', 'pkb', 'dprdjatim', 'fpkb']","['anggota', 'dprd', 'jatim', 'fraksi', 'pkb', 'ahmad', 'tamim', 'dukungannya', 'efisiensi', 'anggaran', 'efisiensi', 'mengorbankan', 'sektor', 'pendidikan', 'kesehatan', 'vital', 'masyarakat', 'efisiensianggaran', 'pendidikandankesehatan', 'pkb', 'dprdjatim', 'fpkb']",anggota dprd jatim fraksi pkb ahmad tamim dukungannya efisiensi anggaran efisiensi mengorbankan sektor pendidikan kesehatan vital masyarakat efisiensianggaran pendidikandankesehatan pkb dprdjatim fpkb
Wed Mar 19 01:27:53 +0000 2025,FaizaFiona91676,Dengan sistem pengawasan yang ketat pengelolaan BUMN dan dana negara diharapkan semakin efisien dan bebas dari penyalahgunaan. #PengelolaanBUMN #AntiKorupsi #EfisiensiAnggaran https://t.co/DJpaTnd2wz,Dengan sistem pengawasan yang ketat pengelolaan BUMN dan dana negara diharapkan semakin efisien dan bebas dari penyalahgunaan PengelolaanBUMN AntiKorupsi EfisiensiAnggaran ,dengan sistem pengawasan yang ketat pengelolaan bumn dan dana negara diharapkan semakin efisien dan bebas dari penyalahgunaan pengelolaanbumn antikorupsi efisiensianggaran ,dengan sistem pengawasan yang ketat pengelolaan bumn dan dana negara diharapkan semakin efisien dan bebas dari penyalahgunaan pengelolaanbumn antikorupsi efisiensianggaran,[],[],"['dengan', 'sistem', 'pengawasan', 'yang', 'ketat', 'pengelolaan', 'bumn', 'dan', 'dana', 'negara', 'diharapkan', 'semakin', 'efisien', 'dan', 'bebas', 'dari', 'penyalahgunaan', 'pengelolaanbumn', 'antikorupsi', 'efisiensianggaran']","['sistem', 'pengawasan', 'ketat', 'pengelolaan', 'bumn', 'dana', 'negara', 'diharapkan', 'efisien', 'bebas', 'penyalahgunaan', 'pengelolaanbumn', 'antikorupsi', 'efisiensianggaran']",sistem pengawasan ketat pengelolaan bumn dana negara diharapkan efisien bebas penyalahgunaan pengelolaanbumn antikorupsi efisiensianggaran
Tue Mar 18 08:25:51 +0000 2025,,Kebijakan efisiensi anggaran diarahkan untuk kepentingan rakyat! Tidak menyentuh pelayanan publik &amp,Kebijakan efisiensi anggaran diarahkan untuk kepentingan rakyat! Tidak menyentuh pelayanan publik amp,kebijakan efisiensi anggaran diarahkan untuk kepentingan rakyat! tidak menyentuh pelayanan publik amp,kebijakan efisiensi anggaran diarahkan untuk kepentingan rakyat! tidak menyentuh pelayanan publik amp,[],[],"['kebijakan', 'efisiensi', 'anggaran', 'diarahkan', 'untuk', 'kepentingan', 'rakyat!', 'tidak', 'menyentuh', 'pelayanan', 'publik', 'amp']","['kebijakan', 'efisiensi', 'anggaran', 'diarahkan', 'kepentingan', 'rakyat!', 'menyentuh', 'pelayanan', 'publik', 'amp']",kebijakan efisiensi anggaran diarahkan kepentingan rakyat! menyentuh pelayanan publik amp
Tue Mar 18 08:23:52 +0000 2025,purnawati_vanya,Kebijakan efisiensi APBN hingga Rp 300 Triliun tidak akan berdampak negatif pada sektor pendidikan. Beasiswa untuk mahasiswa tetap berjalan tanpa gangguan. #EfisiensiAnggaran #PendidikanTetapTerjaga #Beasiswa #APBN https://t.co/tkLPsvQDXo,Kebijakan efisiensi APBN hingga Rp  Triliun tidak akan berdampak negatif pada sektor pendidikan Beasiswa untuk mahasiswa tetap berjalan tanpa gangguan EfisiensiAnggaran PendidikanTetapTerjaga Beasiswa APBN ,kebijakan efisiensi apbn hingga rp  triliun tidak akan berdampak negatif pada sektor pendidikan beasiswa untuk mahasiswa tetap berjalan tanpa gangguan efisiensianggaran pendidikantetapterjaga beasiswa apbn ,kebijakan efisiensi apbn hingga rp triliun tidak akan berdampak negatif pada sektor pendidikan beasiswa untuk mahasiswa tetap berjalan tanpa gangguan efisiensianggaran pendidikantetapterjaga beasiswa apbn,[],[],"['kebijakan', 'efisiensi', 'apbn', 'hingga', 'rp', 'triliun', 'tidak', 'akan', 'berdampak', 'negatif', 'pada', 'sektor', 'pendidikan', 'beasiswa', 'untuk', 'mahasiswa', 'tetap', 'berjalan', 'tanpa', 'gangguan', 'efisiensianggaran', 'pendidikantetapterjaga', 'beasiswa', 'apbn']","['kebijakan', 'efisiensi', 'apbn', 'rp', 'triliun', 'berdampak', 'negatif', 'sektor', 'pendidikan', 'beasiswa', 'mahasiswa', 'berjalan', 'gangguan', 'efisiensianggaran', 'pendidikantetapterjaga', 'beasiswa', 'apbn']",kebijakan efisiensi apbn rp triliun berdampak negatif sektor pendidikan beasiswa mahasiswa berjalan gangguan efisiensianggaran pendidikantetapterjaga beasiswa apbn
Tue Mar 18 06:50:05 +0000 2025,ReikaAudi,Efisiensi anggaran diperlukan untuk menjaga defisit APBN yang tidak diperlukan. Selain itu uang tersebut bisa diperuntukan untuk hal lainnya. #Prabowo #Gibran #EfisiensiAnggaran https://t.co/uXDYwhheiG,Efisiensi anggaran diperlukan untuk menjaga defisit APBN yang tidak diperlukan Selain itu uang tersebut bisa diperuntukan untuk hal lainnya Prabowo Gibran EfisiensiAnggaran ,efisiensi anggaran diperlukan untuk menjaga defisit apbn yang tidak diperlukan selain itu uang tersebut bisa diperuntukan untuk hal lainnya prabowo gibran efisiensianggaran ,efisiensi anggaran diperlukan untuk menjaga defisit apbn yang tidak diperlukan selain itu uang tersebut bisa diperuntukan untuk hal lainnya prabowo gibran efisiensianggaran,[],[],"['efisiensi', 'anggaran', 'diperlukan', 'untuk', 'menjaga', 'defisit', 'apbn', 'yang', 'tidak', 'diperlukan', 'selain', 'itu', 'uang', 'tersebut', 'bisa', 'diperuntukan', 'untuk', 'hal', 'lainnya', 'prabowo', 'gibran', 'efisiensianggaran']","['efisiensi', 'anggaran', 'menjaga', 'defisit', 'apbn', 'uang', 'diperuntukan', 'prabowo', 'gibran', 'efisiensianggaran']",efisiensi anggaran menjaga defisit apbn uang diperuntukan prabowo gibran efisiensianggaran
